Start Date,Aantal Ritten
2019-01-01,0
2019-01-02,19552
2019-01-03,21346
2019-01-04,20666
2019-01-05,13770
2019-01-06,14131
2019-01-07,25453
2019-01-08,27495
2019-01-09,26350
2019-01-10,25793
2019-01-11,26179
2019-01-12,16572
2019-01-13,16128
2019-01-14,27877
2019-01-15,29101
2019-01-16,24303
2019-01-17,25849
2019-01-18,25337
2019-01-19,16488
2019-01-20,16620
2019-01-21,26353
2019-01-22,22881
2019-01-23,25229
2019-01-24,24149
2019-01-25,23980
2019-01-26,14894
2019-01-27,10498
2019-01-28,25638
2019-01-29,24528
2019-01-30,25238
2019-01-31,23245
2019-02-01,12742
2019-02-02,13970
2019-02-03,14463
2019-02-04,18106
2019-02-05,25405
2019-02-06,25965
2019-02-07,26427
2019-02-08,17330
2019-02-09,17203
2019-02-10,10699
2019-02-11,27188
2019-02-12,28459
2019-02-13,28907
2019-02-14,29012
2019-02-15,28575
2019-02-16,20322
2019-02-17,24081
2019-02-18,23630
2019-02-19,28588
2019-02-20,28723
2019-02-21,30182
2019-02-22,29409
2019-02-23,28881
2019-02-24,25757
2019-02-25,31196
2019-02-26,34553
2019-02-27,35034
2019-02-28,26963
2019-03-01,28006
2019-03-02,22537
2019-03-03,9552
2019-03-04,26308
2019-03-05,29366
2019-03-06,25235
2019-03-07,24676
2019-03-08,23410
2019-03-09,19698
2019-03-10,11984
2019-03-11,27453
2019-03-12,21528
2019-03-13,26614
2019-03-14,23485
2019-03-15,25874
2019-03-16,14420
2019-03-17,14245
2019-03-18,27548
2019-03-19,27339
2019-03-20,30176
2019-03-21,31047
2019-03-22,27966
2019-03-23,25586
2019-03-24,27103
2019-03-25,30931
2019-03-26,31611
2019-03-27,30992
2019-03-28,32008
2019-03-29,34994
2019-03-30,32612
2019-03-31,20106
2019-04-01,31560
2019-04-02,24323
2019-04-03,26847
2019-04-04,25284
2019-04-05,27328
2019-04-06,20188
2019-04-07,16713
2019-04-08,26260
2019-04-09,25226
2019-04-10,31387
2019-04-11,30655
2019-04-12,27167
2019-04-13,19641
2019-04-14,20666
2019-04-15,30531
2019-04-16,31444
2019-04-17,36828
2019-04-18,36198
2019-04-19,36029
2019-04-20,38126
2019-04-21,36161
2019-04-22,34989
2019-04-23,34390
2019-04-24,34306
2019-04-25,34096
2019-04-26,31705
2019-04-27,18212
2019-04-28,22377
2019-04-29,33428
2019-04-30,38448
2019-05-01,37609
2019-05-02,32267
2019-05-03,27913
2019-05-04,19574
2019-05-05,22642
2019-05-06,22188
2019-05-07,34261
2019-05-08,20077
2019-05-09,28132
2019-05-10,33753
2019-05-11,25207
2019-05-12,31470
2019-05-13,37186
2019-05-14,39209
2019-05-15,38666
2019-05-16,38050
2019-05-17,29595
2019-05-18,27791
2019-05-19,26396
2019-05-20,35738
2019-05-21,40728
2019-05-22,39948
2019-05-23,40941
2019-05-24,36922
2019-05-25,32708
2019-05-26,26458
2019-05-27,27970
2019-05-28,33945
2019-05-29,30951
2019-05-30,39046
2019-05-31,38627
2019-06-01,40269
2019-06-02,33429
2019-06-03,36966
2019-06-04,31530
2019-06-05,37644
2019-06-06,37761
2019-06-07,24910
2019-06-08,26342
2019-06-09,28898
2019-06-10,13223
2019-06-11,33798
2019-06-12,25147
2019-06-13,26284
2019-06-14,33358
2019-06-15,27748
2019-06-16,25653
2019-06-17,38348
2019-06-18,29338
2019-06-19,32805
2019-06-20,37928
2019-06-21,38191
2019-06-22,36351
2019-06-23,30436
2019-06-24,38157
2019-06-25,37638
2019-06-26,39213
2019-06-27,41244
2019-06-28,39507
2019-06-29,38100
2019-06-30,33531
2019-07-01,38871
2019-07-02,42058
2019-07-03,43442
2019-07-04,44176
2019-07-05,41968
2019-07-06,33545
2019-07-07,29510
2019-07-08,39267
2019-07-09,40842
2019-07-10,41935
2019-07-11,41499
2019-07-12,40922
2019-07-13,35750
2019-07-14,27514
2019-07-15,39063
2019-07-16,43035
2019-07-17,41586
2019-07-18,33892
2019-07-19,25347
2019-07-20,30961
2019-07-21,32832
2019-07-22,40450
2019-07-23,43684
2019-07-24,41869
2019-07-25,38869
2019-07-26,31185
2019-07-27,19734
2019-07-28,28957
2019-07-29,41009
2019-07-30,27045
2019-07-31,37886
2019-08-01,39396
2019-08-02,37834
2019-08-03,38877
2019-08-04,33904
2019-08-05,33668
2019-08-06,38821
2019-08-07,37423
2019-08-08,40194
2019-08-09,30348
2019-08-10,25631
2019-08-11,29584
2019-08-12,29212
2019-08-13,38860
2019-08-14,18977
2019-08-15,37643
2019-08-16,23142
2019-08-17,28941
2019-08-18,23785
2019-08-19,32693
2019-08-20,38700
2019-08-21,37882
2019-08-22,37642
2019-08-23,35625
2019-08-24,30355
2019-08-25,30995
2019-08-26,32742
2019-08-27,36953
2019-08-28,36247
2019-08-29,37958
2019-08-30,36815
2019-08-31,30454
2019-09-01,29107
2019-09-02,34930
2019-09-03,36773
2019-09-04,33650
2019-09-05,36372
2019-09-06,31485
2019-09-07,27680
2019-09-08,27648
2019-09-09,29189
2019-09-10,36305
2019-09-11,35451
2019-09-12,37853
2019-09-13,36996
2019-09-14,34570
2019-09-15,33266
2019-09-16,32463
2019-09-17,38590
2019-09-18,38387
2019-09-19,37905
2019-09-20,37274
2019-09-21,36034
2019-09-22,23871
2019-09-23,30629
2019-09-24,21274
2019-09-25,32157
2019-09-26,28656
2019-09-27,29264
2019-09-28,24657
2019-09-29,15298
2019-09-30,27472
2019-10-01,24277
2019-10-02,33562
2019-10-03,32373
2019-10-04,32011
2019-10-05,26222
2019-10-06,21447
2019-10-07,28078
2019-10-08,31492
2019-10-09,34525
2019-10-10,35283
2019-10-11,24960
2019-10-12,9924
2019-10-13,15864
2019-10-14,22284
2019-10-15,33951
2019-10-16,30493
2019-10-17,29951
2019-10-18,29385
2019-10-19,25078
2019-10-20,20297
2019-10-21,24006
2019-10-22,33426
2019-10-23,31495
2019-10-24,23267
2019-10-25,28710
2019-10-26,14260
2019-10-27,21824
2019-10-28,29926
2019-10-29,30870
2019-10-30,31897
2019-10-31,30634
2019-11-01,24866
2019-11-02,14406
2019-11-03,18147
2019-11-04,28872
2019-11-05,30658
2019-11-06,30427
2019-11-07,29936
2019-11-08,25946
2019-11-09,12189
2019-11-10,18280
2019-11-11,27817
2019-11-12,27097
2019-11-13,29365
2019-11-14,28393
2019-11-15,21151
2019-11-16,18329
2019-11-17,17858
2019-11-18,28284
2019-11-19,28446
2019-11-20,29170
2019-11-21,26844
2019-11-22,24624
2019-11-23,14755
2019-11-24,15438
2019-11-25,25483
2019-11-26,26616
2019-11-27,26319
2019-11-28,25801
2019-11-29,28177
2019-11-30,17967
2019-12-01,14075
2019-12-02,27078
2019-12-03,29338
2019-12-04,29229
2019-12-05,28311
2019-12-06,21724
2019-12-07,19045
2019-12-08,14981
2019-12-09,26848
2019-12-10,23931
2019-12-11,27172
2019-12-12,19561
2019-12-13,22967
2019-12-14,14712
2019-12-15,13921
2019-12-16,24109
2019-12-17,19513
2019-12-18,24533
2019-12-19,21475
2019-12-20,14305
2019-12-21,9274
2019-12-22,10262
2019-12-23,15704
2019-12-24,10273
2019-12-25,34116
2019-12-26,5583
2019-12-27,11565
2019-12-28,11273
2019-12-29,12106
2019-12-30,15971
2019-12-31,12537
